internet_usage,sex,age,education
1,Mujer,45,Secundaria
0,Mujer,71,F.P.
1,Mujer,35,Superiores
1,Mujer,24,Medios universitarios
0,Hombre,82,Primaria
1,Hombre,18,Secundaria
1,Hombre,28,Superiores
1,Hombre,44,Superiores
1,Mujer,18,Primaria
0,Mujer,81,Sin estudios
0,Hombre,73,Primaria
1,Hombre,51,Primaria
1,Mujer,28,Primaria
1,Hombre,22,Primaria
1,Hombre,43,F.P.
0,Mujer,43,F.P.
1,Hombre,33,Medios universitarios
0,Mujer,65,Primaria
0,Hombre,64,Primaria
1,Hombre,27,Medios universitarios
0,Mujer,50,Primaria
1,Mujer,33,Superiores
0,Mujer,81,F.P.
0,Mujer,68,Secundaria
1,Hombre,45,Primaria
1,Hombre,40,Secundaria
1,Mujer,45,Superiores
1,Mujer,42,F.P.
1,Mujer,41,Primaria
1,Mujer,48,F.P.
1,Mujer,73,Primaria
0,Hombre,68,Sin estudios
1,Mujer,28,Superiores
1,Mujer,22,F.P.
0,Mujer,61,Primaria
1,Hombre,23,F.P.
0,Hombre,78,Primaria
1,Hombre,53,Primaria
1,Hombre,33,F.P.
0,Mujer,68,Primaria
0,Mujer,55,Primaria
1,Hombre,31,Primaria
1,Mujer,21,Secundaria
1,Hombre,33,Superiores
0,Mujer,77,Primaria
1,Mujer,45,Secundaria
1,Hombre,66,F.P.
0,Mujer,63,Primaria
1,Hombre,21,Secundaria
1,Hombre,41,Superiores
1,Hombre,49,Primaria
1,Mujer,32,F.P.
0,Hombre,67,Primaria
1,Mujer,29,Primaria
0,Hombre,74,Sin estudios
1,Hombre,40,Secundaria
0,Hombre,30,Primaria
1,Hombre,30,Primaria
1,Hombre,36,Primaria
0,Mujer,65,Sin estudios
1,Hombre,81,Primaria
0,Mujer,63,Sin estudios
1,Mujer,24,Superiores
1,Mujer,42,Superiores
1,Hombre,52,Primaria
1,Mujer,41,Superiores
0,Hombre,71,Sin estudios
0,Hombre,37,F.P.
1,Mujer,29,Medios universitarios
1,Mujer,51,Medios universitarios
1,Hombre,48,F.P.
0,Mujer,57,Primaria
1,Hombre,43,Secundaria
1,Hombre,22,Primaria
1,Hombre,35,F.P.
0,Hombre,90,Sin estudios
1,Mujer,68,Medios universitarios
0,Mujer,41,Primaria
1,Hombre,19,Secundaria
1,Hombre,39,Primaria
0,Hombre,52,Primaria
1,Hombre,19,F.P.
0,Mujer,34,Primaria
1,Hombre,28,Superiores
0,Mujer,58,Primaria
0,Hombre,64,Primaria
0,Mujer,42,Medios universitarios
0,Mujer,69,Sin estudios
1,Hombre,26,Secundaria
0,Hombre,73,Primaria
1,Hombre,50,Secundaria
0,Mujer,43,F.P.
0,Mujer,82,Primaria
0,Mujer,55,F.P.
1,Hombre,35,F.P.
0,Mujer,79,Sin estudios
1,Mujer,33,F.P.
1,Hombre,30,Primaria
0,Hombre,57,F.P.
1,Hombre,30,Medios universitarios
1,Hombre,32,Medios universitarios
0,Mujer,63,Primaria
1,Mujer,50,F.P.
1,Mujer,44,F.P.
0,Mujer,71,Sin estudios
0,Mujer,42,Primaria
0,Mujer,47,Primaria
1,Mujer,24,F.P.
1,Hombre,55,Medios universitarios
1,Hombre,32,Secundaria
1,Mujer,32,Superiores
0,Mujer,78,Primaria
0,Mujer,73,Sin estudios
0,Mujer,60,Primaria
1,Mujer,33,Primaria
0,Mujer,35,Primaria
0,Mujer,52,Primaria
1,Hombre,31,F.P.
0,Hombre,49,Primaria
1,Hombre,35,Secundaria
1,Hombre,28,Primaria
1,Mujer,38,Primaria
1,Mujer,30,Medios universitarios
1,Hombre,56,Primaria
1,Mujer,30,Secundaria
1,Mujer,37,Superiores
1,Hombre,31,Medios universitarios
0,Mujer,64,Primaria
1,Hombre,50,Secundaria
1,Hombre,55,Superiores
0,Mujer,43,Secundaria
1,Hombre,37,Primaria
1,Hombre,49,Primaria
1,Hombre,21,Primaria
0,Hombre,57,F.P.
1,Mujer,21,Primaria
1,Hombre,38,Primaria
0,Hombre,70,Primaria
0,Mujer,57,Primaria
0,Mujer,82,Sin estudios
0,Mujer,40,Primaria
0,Mujer,72,Sin estudios
1,Hombre,36,F.P.
0,Hombre,65,Primaria
1,Hombre,23,Primaria
1,Mujer,29,Secundaria
1,Hombre,48,Secundaria
0,Mujer,41,Primaria
0,Mujer,57,Primaria
1,Mujer,47,Superiores
0,Mujer,70,Primaria
1,Hombre,60,Superiores
1,Mujer,18,Primaria
1,Hombre,40,Superiores
1,Mujer,35,Secundaria
1,Hombre,46,F.P.
1,Mujer,55,Secundaria
1,Hombre,60,Primaria
1,Hombre,29,F.P.
1,Mujer,34,F.P.
1,Mujer,39,F.P.
1,Mujer,19,Secundaria
1,Hombre,47,Secundaria
0,Hombre,65,Primaria
1,Mujer,35,F.P.
0,Hombre,54,Primaria
1,Hombre,60,F.P.
0,Mujer,78,Primaria
0,Mujer,26,F.P.
0,Mujer,59,Medios universitarios
1,Hombre,33,F.P.
1,Mujer,33,Secundaria
1,Hombre,58,Medios universitarios
0,Hombre,80,Primaria
1,Mujer,47,F.P.
1,Mujer,43,Superiores
1,Hombre,46,Superiores
1,Mujer,20,F.P.
1,Hombre,37,Superiores
0,Mujer,85,Superiores
0,Mujer,75,Primaria
0,Hombre,80,Primaria
1,Hombre,33,Secundaria
0,Mujer,77,Sin estudios
0,Mujer,52,Primaria
0,Hombre,37,Primaria
0,Mujer,57,Primaria
1,Hombre,28,F.P.
0,Hombre,62,Primaria
0,Hombre,33,Primaria
1,Hombre,50,Superiores
0,Hombre,75,Primaria
1,Mujer,26,Superiores
1,Mujer,41,Medios universitarios
1,Mujer,35,Primaria
1,Mujer,34,Superiores
1,Mujer,44,Medios universitarios
1,Hombre,18,Primaria
1,Hombre,26,Secundaria
0,Mujer,62,Primaria
0,Hombre,54,Secundaria
0,Hombre,64,F.P.
1,Hombre,36,Superiores
0,Mujer,31,F.P.
1,Mujer,54,Medios universitarios
0,Mujer,41,Secundaria
1,Mujer,20,Medios universitarios
1,Mujer,65,Secundaria
0,Hombre,53,F.P.
0,Mujer,65,Medios universitarios
0,Hombre,76,Primaria
0,Mujer,58,Primaria
1,Mujer,46,Medios universitarios
0,Hombre,23,Primaria
0,Mujer,80,Sin estudios
1,Hombre,43,Primaria
1,Mujer,37,Secundaria
1,Hombre,28,Primaria
1,Mujer,47,Secundaria
0,Mujer,86,Sin estudios
0,Hombre,48,Primaria
0,Hombre,74,Primaria
1,Hombre,35,Primaria
0,Mujer,59,Primaria
1,Mujer,26,Medios universitarios
1,Hombre,25,Secundaria
0,Hombre,75,Primaria
1,Mujer,42,Primaria
0,Mujer,84,Sin estudios
1,Mujer,31,Primaria
1,Hombre,32,Primaria
1,Hombre,22,F.P.
0,Hombre,59,Primaria
0,Mujer,57,Primaria
1,Hombre,40,F.P.
1,Hombre,46,Secundaria
1,Hombre,43,F.P.
1,Mujer,43,Superiores
1,Mujer,28,Superiores
1,Hombre,70,F.P.
1,Mujer,53,Superiores
0,Mujer,27,Secundaria
1,Mujer,40,Medios universitarios
1,Hombre,31,Medios universitarios
0,Mujer,56,Primaria
1,Mujer,27,F.P.
0,Mujer,75,Primaria
0,Hombre,42,Primaria
1,Mujer,46,Primaria
1,Hombre,48,F.P.
0,Mujer,81,Sin estudios
0,Hombre,52,Primaria
0,Mujer,30,Primaria
1,Hombre,43,Primaria
0,Mujer,18,Primaria
1,Mujer,42,Secundaria
0,Hombre,72,Sin estudios
0,Hombre,21,Primaria
0,Hombre,63,Primaria
1,Mujer,41,Primaria
0,Hombre,35,Sin estudios
0,Mujer,72,Sin estudios
0,Mujer,61,Sin estudios
1,Hombre,20,Primaria
0,Mujer,74,Sin estudios
1,Hombre,63,Primaria
1,Hombre,27,Primaria
1,Mujer,29,F.P.
0,Mujer,50,F.P.
1,Hombre,33,Primaria
1,Hombre,25,F.P.
1,Mujer,51,Superiores
1,Hombre,47,Secundaria
0,Hombre,69,Primaria
1,Mujer,26,Secundaria
1,Mujer,18,Secundaria
0,Mujer,67,Sin estudios
1,Mujer,37,Medios universitarios
1,Hombre,43,Medios universitarios
1,Hombre,37,Secundaria
1,Hombre,19,Secundaria
1,Hombre,29,Superiores
1,Mujer,34,Primaria
0,Mujer,58,Primaria
0,Hombre,67,Sin estudios
0,Mujer,43,Primaria
0,Mujer,45,Primaria
0,Mujer,77,Primaria
1,Hombre,41,Primaria
0,Hombre,79,Sin estudios
1,Hombre,29,Primaria
1,Hombre,40,F.P.
0,Mujer,20,Primaria
0,Mujer,26,Primaria
0,Mujer,54,Sin estudios
0,Mujer,57,Primaria
0,Mujer,38,Primaria
0,Hombre,48,Primaria
1,Hombre,26,Primaria
0,Hombre,68,Sin estudios
0,Hombre,26,Primaria
0,Mujer,31,Secundaria
0,Mujer,73,Sin estudios
1,Hombre,38,Primaria
1,Mujer,40,Primaria
0,Hombre,52,Primaria
0,Hombre,66,Primaria
1,Mujer,32,Primaria
0,Mujer,56,Primaria
1,Hombre,28,Primaria
0,Mujer,81,Sin estudios
1,Hombre,21,Primaria
0,Mujer,39,F.P.
0,Hombre,44,Primaria
1,Hombre,26,Medios universitarios
1,Mujer,45,Primaria
0,Hombre,67,Primaria
1,Mujer,31,Medios universitarios
1,Mujer,32,F.P.
0,Mujer,44,Primaria
0,Mujer,70,Sin estudios
0,Hombre,75,Sin estudios
0,Mujer,55,Primaria
0,Hombre,50,F.P.
0,Hombre,62,Primaria
1,Hombre,31,Superiores
1,Hombre,40,F.P.
0,Mujer,59,Primaria
1,Hombre,48,F.P.
0,Mujer,30,Primaria
0,Mujer,65,Medios universitarios
1,Mujer,45,Superiores
0,Hombre,56,Primaria
0,Mujer,58,Medios universitarios
1,Hombre,28,Primaria
1,Mujer,32,Superiores
0,Mujer,70,Primaria
0,Hombre,77,Sin estudios
0,Hombre,57,Primaria
0,Mujer,52,Primaria
0,Mujer,39,Primaria
0,Hombre,40,Primaria
0,Hombre,86,Primaria
1,Hombre,20,Primaria
0,Mujer,65,Sin estudios
0,Hombre,40,Primaria
0,Hombre,51,Primaria
1,Hombre,20,Primaria
0,Hombre,70,Primaria
1,Mujer,40,Primaria
1,Hombre,28,Medios universitarios
0,Hombre,44,Primaria
0,Mujer,44,Primaria
0,Mujer,67,Primaria
1,Hombre,34,Medios universitarios
0,Hombre,75,Primaria
0,Mujer,57,Primaria
1,Mujer,18,Primaria
1,Hombre,48,Secundaria
1,Hombre,37,Medios universitarios
0,Mujer,45,Primaria
1,Mujer,23,Primaria
1,Hombre,48,Primaria
0,Mujer,44,Primaria
1,Mujer,29,Primaria
0,Hombre,56,Primaria
1,Hombre,34,Primaria
1,Mujer,32,F.P.
1,Mujer,42,Primaria
0,Hombre,55,Primaria
0,Hombre,40,F.P.
0,Hombre,71,Primaria
0,Mujer,62,Primaria
1,Mujer,18,Primaria
0,Mujer,87,Sin estudios
0,Mujer,68,Sin estudios
0,Hombre,55,Sin estudios
0,Hombre,39,Primaria
0,Mujer,57,Primaria
0,Hombre,19,Primaria
1,Hombre,30,Primaria
0,Mujer,46,Primaria
1,Mujer,35,Medios universitarios
0,Mujer,22,F.P.
1,Mujer,28,Primaria
0,Mujer,70,Sin estudios
0,Mujer,38,Primaria
1,Mujer,45,Primaria
0,Hombre,28,Primaria
0,Hombre,48,Primaria
1,Hombre,36,Superiores
0,Hombre,86,Sin estudios
0,Hombre,54,Primaria
0,Hombre,44,Primaria
0,Mujer,37,Medios universitarios
1,Hombre,28,F.P.
0,Hombre,54,Primaria
0,Hombre,73,Primaria
0,Mujer,73,Primaria
0,Mujer,32,Primaria
0,Mujer,61,Primaria
0,Hombre,68,Primaria
0,Mujer,83,Medios universitarios
0,Hombre,45,Primaria
1,Mujer,30,Superiores
1,Mujer,38,Primaria
1,Hombre,24,Primaria
0,Mujer,51,Medios universitarios
1,Hombre,38,F.P.
0,Mujer,64,Primaria
0,Mujer,74,Medios universitarios
0,Mujer,48,Primaria
1,Mujer,21,F.P.
0,Mujer,29,Primaria
1,Hombre,31,F.P.
0,Hombre,71,Primaria
1,Hombre,48,Primaria
